Units Absorbed by Dwelling Type and Census Subdivision for Centres 50,000+								
Logements écoulés selon le type de logements et la subdivision de recensement, les centres de 50 000 habitants et plus								
2019								
								
Province	Centre	Census Subdivision	Singles	Semis	Row	Apartment and Other	Total	
B.C./C.-B.	Courtenay	Comox (T)	29	--	4	85	118	
B.C./C.-B.	Courtenay	Courtenay (CY)	127	12	40	106	285	
B.C./C.-B.	Courtenay	Comox Valley A (RDA)	24	--	--	2	26	
B.C./C.-B.	Courtenay	Comox Valley B (Lazo North) (RDA)	31	--	--	1	32	
B.C./C.-B.	Courtenay	First Nations (Courtenay) (R)	--	--	--	--	--	
B.C./C.-B.	Courtenay	Total	211	12	44	194	461	
B.C./C.-B.	Kamloops	Logan Lake (DM)	12	--	--	--	12	
B.C./C.-B.	Kamloops	Thompson-Nicola J (Copper Desert Country) (RDA)	24	4	--	1	29	
B.C./C.-B.	Kamloops	Kamloops (CY)	172	49	38	699	958	
B.C./C.-B.	Kamloops	Thompson-Nicola P (Rivers and the Peaks) (RDA)	20	--	--	2	22	
B.C./C.-B.	Kamloops	Sun Peaks Mountain (VL)	1	2	13	1	17	
B.C./C.-B.	Kamloops	Chase (VL)	5	--	--	--	5	
B.C./C.-B.	Kamloops	First Nations (Kamloops) (R)	35	2	--	--	37	
B.C./C.-B.	Kamloops	Total	269	57	51	703	1,080	
B.C./C.-B.	Nanaimo	Nanaimo (CY)	274	47	27	249	597	
B.C./C.-B.	Nanaimo	Lantzville (DM)	7	--	--	--	7	
B.C./C.-B.	Nanaimo	Nanaimo A (RDA)	24	--	--	1	25	
B.C./C.-B.	Nanaimo	Nanaimo C (RDA)	16	--	--	1	17	
B.C./C.-B.	Nanaimo	First Nations (Nanaimo) (R)	--	--	--	--	--	
B.C./C.-B.	Nanaimo	Total	321	47	27	251	646	
B.C./C.-B.	Prince George	Prince George (CY)	141	4	13	114	272	
B.C./C.-B.	Prince George	Fraser-Fort George A (RDA)	5	--	--	--	5	
B.C./C.-B.	Prince George	Fraser-Fort George C (RDA)	13	--	--	1	14	
B.C./C.-B.	Prince George	Fraser-Fort George D (RDA)	7	--	--	--	7	
B.C./C.-B.	Prince George	Fraser-Fort George F (RDA)	4	--	--	--	4	
B.C./C.-B.	Prince George	First Nations (Prince George) (R)	3	--	--	--	3	
B.C./C.-B.	Prince George	Total	173	4	13	115	305	
B.C./C.-B.	Vernon	Coldstream (DM)	28	--	--	1	29	
B.C./C.-B.	Vernon	Vernon (CY)	120	49	82	156	407	
B.C./C.-B.	Vernon	North Okanagan B (RDA)	3	--	--	--	3	
B.C./C.-B.	Vernon	North Okanagan C (RDA)	13	2	--	1	16	
B.C./C.-B.	Vernon	First Nations (Vernon) (R)	--	--	--	--	--	
B.C./C.-B.	Vernon	Total	164	51	82	158	455	
